checking_sttus,durtion_new,credit_history,purpose,credit_mount,credit_mount_new,svings_sttus,employment,instllment_commitment,personl_sttus,other_prties,residence_since,property_mgnitude,ge,other_pyment_plns,housing,existing_credits,job,own_telephone,foreign_worker,clss
12,30,34,40,4249,2,61,71,4,94,101,2,123,28,143,152,2,174,191,201,2
11,24,32,43,1938,1,61,72,4,91,101,3,122,32,143,152,1,173,191,201,2
11,24,32,41,2910,1,61,74,2,93,101,1,124,34,143,153,1,174,192,201,1
11,18,32,42,2659,1,64,73,4,93,101,2,123,28,143,152,1,173,191,201,1
14,18,34,40,1028,1,61,73,4,92,101,3,121,36,143,152,2,173,191,201,1
11,8,34,40,3398,1,61,74,1,93,101,4,121,39,143,152,2,172,191,202,1
14,12,34,42,5801,2,65,75,2,93,101,4,122,49,143,151,1,173,192,201,1
14,24,32,40,1525,1,64,74,4,92,101,3,123,34,143,152,1,173,192,201,1
13,36,32,43,4473,2,61,75,4,93,101,2,123,31,143,152,1,173,191,201,1
12,6,32,43,1068,1,61,75,4,93,101,4,123,28,143,152,1,173,191,201,1
11,24,34,41,6615,3,61,71,2,93,101,4,124,75,143,153,2,174,192,201,1
14,18,34,46,1864,1,62,73,4,92,101,2,121,30,143,152,2,173,191,201,2
12,56.9,32,40,7408,3,62,72,4,92,101,2,122,24,143,152,1,174,191,201,2
14,48,34,41,11590,3,62,73,2,92,101,4,123,24,141,151,2,172,191,201,2
11,24,30,42,4110,2,61,75,3,93,101,4,124,23,141,151,2,173,191,201,2
11,6,34,42,3384,1,61,73,1,91,101,4,121,44,143,151,1,174,192,201,2
12,13,32,43,2101,1,61,72,2,92,103,4,122,23,143,152,1,172,191,201,1
11,15,32,44,1275,1,65,73,4,92,101,2,123,24,143,151,1,173,191,201,2
11,24,32,42,4169,2,61,73,4,93,101,4,122,28,143,152,1,173,191,201,1
12,10,32,42,1521,1,61,73,4,91,101,2,123,31,143,152,1,172,191,201,1
12,24,34,46,5743,2,61,72,2,92,101,4,124,24,143,153,2,173,192,201,1
11,21,32,42,3599,1,61,74,1,92,101,4,123,26,143,151,1,172,191,201,1
12,18,32,43,3213,1,63,72,1,94,101,3,121,25,143,151,1,173,191,201,1
12,18,32,49,4439,2,61,75,1,93,102,1,121,33,141,152,1,174,192,201,1
13,10,32,40,3949,2,61,72,1,93,103,1,122,37,143,152,1,172,191,201,1
14,15,34,43,1459,1,61,73,4,92,101,2,123,43,143,152,1,172,191,201,1
12,13,34,43,882,1,61,72,4,93,103,4,121,23,143,152,2,173,191,201,1
12,24,32,43,3758,1,63,71,1,92,101,4,124,23,143,151,1,171,191,201,1
14,6,33,49,1743,1,62,73,1,93,101,2,121,34,143,152,2,172,191,201,1
12,9,34,46,1136,1,64,75,4,93,101,3,124,32,143,153,2,173,191,201,2
14,9,32,44,1236,1,61,72,1,92,101,4,121,23,143,151,1,173,192,201,1
12,9,32,42,959,1,61,73,1,92,101,2,123,29,143,152,1,173,191,202,2
14,18,34,41,3229,1,65,71,2,93,101,4,124,38,143,152,1,174,192,201,1
11,12,30,43,6199,2,61,73,4,93,101,2,122,28,143,151,2,173,192,201,2
14,10,32,46,727,1,63,75,4,93,101,4,124,46,143,153,1,173,192,201,1
12,24,32,40,1246,1,61,72,4,93,101,2,121,23,142,152,1,172,191,201,2
14,12,34,43,2331,1,65,75,1,93,102,4,121,49,143,152,1,173,192,201,1
14,36,33,43,4463,2,61,73,4,93,101,2,123,26,143,152,2,174,192,201,2
14,12,32,43,776,1,61,73,4,94,101,2,121,28,143,152,1,173,191,201,1
11,30,32,42,2406,1,61,74,4,92,101,4,121,23,143,151,1,173,191,201,2
12,18,32,46,1239,1,65,73,4,93,101,4,124,61,143,153,1,173,191,201,1
13,12,32,43,3399,1,65,75,2,93,101,3,123,37,143,152,1,174,191,201,1
13,12,33,40,2247,1,61,73,2,92,101,2,123,36,142,152,2,173,192,201,1
14,6,32,42,1766,1,61,73,1,94,101,2,122,21,143,151,1,173,191,201,1
11,18,32,42,2473,1,61,71,4,93,101,1,123,25,143,152,1,171,191,201,2
14,12,32,49,1542,1,61,74,2,93,101,4,123,36,143,152,1,173,192,201,1
14,18,34,41,3850,1,61,74,3,93,101,1,123,27,143,152,2,173,191,201,1
11,18,32,42,3650,1,61,72,1,92,101,4,123,22,143,151,1,173,191,201,1
11,36,32,42,3446,1,61,75,4,93,101,2,123,42,143,152,1,173,191,201,2
12,18,32,42,3001,1,61,74,2,92,101,4,121,40,143,151,1,173,191,201,1
14,36,32,40,3079,1,65,73,4,93,101,4,121,36,143,152,1,173,191,201,1
14,18,34,43,6070,2,61,75,3,93,101,4,123,33,143,152,2,173,192,201,1
14,10,34,42,2146,1,61,72,1,92,101,3,121,23,143,151,2,173,191,201,1
14,56.9,34,40,13756,4,65,75,2,93,101,4,124,63,141,153,1,174,192,201,1
12,56.9,31,410,14782,4,62,75,3,92,101,4,124,60,141,153,2,174,192,201,2
11,48,31,49,7685,3,61,74,2,92,103,4,123,37,143,151,1,173,191,201,2
14,18,33,43,2320,1,61,71,2,94,101,3,121,34,143,152,2,173,191,201,1
14,7,33,43,846,1,65,75,3,93,101,4,124,36,143,153,1,173,191,201,1
12,36,32,40,14318,4,61,75,4,93,101,2,124,57,143,153,1,174,192,201,2
14,6,34,40,362,1,62,73,4,92,101,4,123,52,143,152,2,172,191,201,1
11,20,32,42,2212,1,65,74,4,93,101,4,123,39,143,152,1,173,192,201,1
12,18,32,41,12976,4,61,71,3,92,101,4,124,38,143,153,1,174,192,201,2
14,22,32,40,1283,1,65,74,4,92,101,4,122,25,143,151,1,173,191,201,1
13,12,32,40,1330,1,61,72,4,93,101,1,121,26,143,152,1,173,191,201,1
14,30,33,49,4272,2,62,73,2,93,101,2,122,26,143,152,2,172,191,201,1
14,18,34,43,2238,1,61,73,2,92,101,1,123,25,143,152,2,173,191,201,1
14,18,32,43,1126,1,65,72,4,92,101,2,121,21,143,151,1,173,192,201,1
12,18,34,42,7374,3,61,71,4,93,101,4,122,40,142,152,2,174,192,201,1
12,15,34,49,2326,1,63,73,2,93,101,4,123,27,141,152,1,173,191,201,1
14,9,32,49,1449,1,61,74,3,92,101,2,123,27,143,152,2,173,191,201,1
14,18,32,40,1820,1,61,73,2,94,101,2,122,30,143,152,1,174,192,201,1
12,12,32,42,983,1,64,72,1,92,101,4,121,19,143,151,1,172,191,201,1
11,36,32,40,3249,1,61,74,2,93,101,4,124,39,141,153,1,174,192,201,1
11,6,34,43,1957,1,61,74,1,92,101,4,123,31,143,152,1,173,191,201,1
14,9,34,42,2406,1,61,71,2,93,101,3,123,31,143,152,1,174,191,201,1
12,39,33,46,11760,3,62,74,2,93,101,3,124,32,143,151,1,173,192,201,1
11,12,32,42,2578,1,61,71,3,92,101,4,124,55,143,153,1,174,191,201,1
11,36,34,42,2348,1,61,73,3,94,101,2,122,46,143,152,2,173,192,201,1
12,12,32,40,1223,1,61,75,1,91,101,1,121,46,143,151,2,173,191,201,2
14,24,34,43,1516,1,64,73,4,92,101,1,121,43,143,152,2,172,191,201,1
14,18,32,43,1473,1,61,72,3,94,101,4,121,39,143,152,1,173,192,201,1
12,18,34,49,1887,1,65,73,4,94,101,4,121,28,141,152,2,173,191,201,1
14,24,33,49,8648,3,61,72,2,93,101,2,123,27,141,152,2,173,192,201,2
14,14,33,40,802,1,61,73,4,93,101,2,123,27,143,152,2,172,191,201,1
12,18,33,40,2899,1,65,75,4,93,101,4,123,43,143,152,1,173,191,201,1
12,24,32,43,2039,1,61,72,1,94,101,1,122,22,143,152,1,173,192,201,2
14,24,34,41,2197,1,65,74,4,93,101,4,123,43,143,152,2,173,192,201,1
11,15,32,43,1053,1,61,72,4,94,101,2,121,27,143,152,1,173,191,202,1
14,24,32,43,3235,1,63,75,3,91,101,2,123,26,143,152,1,174,192,201,1
13,12,34,40,939,1,63,74,4,94,101,2,121,28,143,152,3,173,192,201,2
12,24,32,43,1967,1,61,75,4,92,101,4,123,20,143,152,1,173,192,201,1
14,33,34,41,7253,3,61,74,3,93,101,2,123,35,143,152,2,174,192,201,1
14,12,34,49,2292,1,61,71,4,93,101,2,123,42,142,152,2,174,192,201,2
14,10,32,40,1597,1,63,73,3,93,101,2,124,40,143,151,1,172,191,202,1
11,24,32,40,1381,1,65,73,4,92,101,2,122,35,143,152,1,173,191,201,2
14,36,34,41,5842,2,61,75,2,93,101,2,122,35,143,152,2,173,192,201,1
11,12,32,40,2579,1,61,72,4,93,101,1,121,33,143,152,1,172,191,201,2
11,18,33,46,8471,3,65,73,1,92,101,2,123,23,143,151,2,173,192,201,1
14,21,32,40,2782,1,63,74,1,92,101,2,123,31,141,152,1,174,191,201,1
12,18,32,40,1042,1,65,73,4,92,101,2,122,33,143,152,1,173,191,201,2
14,15,32,40,3186,1,64,74,2,92,101,3,123,20,143,151,1,173,191,201,1
12,12,32,41,2028,1,65,73,4,93,101,2,123,30,143,152,1,173,191,201,1
12,12,34,40,958,1,61,74,2,93,101,3,121,47,143,152,2,172,191,201,1
14,21,33,42,1591,1,62,74,4,93,101,3,121,34,143,152,2,174,191,201,1
12,12,32,42,2762,1,65,75,1,92,101,2,122,25,141,152,1,173,192,201,2
12,18,32,41,2779,1,61,73,1,94,101,3,123,21,143,151,1,173,192,201,1
14,28,34,43,2743,1,61,75,4,93,101,2,123,29,143,152,2,173,191,201,1
14,18,34,43,1149,1,64,73,4,93,101,3,121,46,143,152,2,173,191,201,1
14,9,32,42,1313,1,61,75,1,93,101,4,123,20,143,152,1,173,191,201,1
11,18,34,45,1190,1,61,71,2,92,101,4,124,55,143,153,3,171,191,201,2
14,5,32,49,3448,1,61,74,1,93,101,4,121,74,143,152,1,172,191,201,1
12,24,32,410,11328,3,61,73,2,93,102,3,123,29,141,152,2,174,192,201,2
11,6,34,42,1872,1,61,71,4,93,101,4,124,36,143,153,3,174,192,201,1
14,24,34,45,2058,1,61,73,4,91,101,2,121,33,143,152,2,173,192,201,1
11,9,32,42,2136,1,61,73,3,93,101,2,121,25,143,152,1,173,191,201,1
12,12,32,43,1484,1,65,73,2,94,101,1,121,25,143,152,1,173,192,201,2
14,6,32,45,660,1,63,74,2,94,101,4,121,23,143,151,1,172,191,201,1
14,24,34,40,1287,1,64,75,4,92,101,4,121,37,143,152,2,173,192,201,1
11,42,34,45,3394,1,61,71,4,93,102,4,123,65,143,152,2,171,191,201,1
13,12,31,49,609,1,61,72,4,92,101,1,121,26,143,152,1,171,191,201,2
14,12,32,40,1884,1,61,75,4,93,101,4,123,39,143,152,1,174,192,201,1
11,12,32,42,1620,1,61,73,2,92,102,3,122,30,143,152,1,173,191,201,1
12,20,33,410,2629,1,61,73,2,93,101,3,123,29,141,152,2,173,192,201,1
14,12,32,46,719,1,61,75,4,93,101,4,123,41,141,152,1,172,191,201,2
12,48,34,42,5096,2,61,73,2,92,101,3,123,30,143,152,1,174,192,201,2
14,9,34,46,1244,1,65,75,4,92,101,4,122,41,143,151,2,172,191,201,1
11,36,32,40,1842,1,61,72,4,92,101,4,123,34,143,152,1,173,192,201,2
12,7,32,43,2576,1,61,73,2,93,103,2,121,35,143,152,1,173,191,201,1
13,12,32,42,1424,1,65,75,3,92,101,4,121,55,143,152,1,174,192,201,1
12,15,33,45,1512,1,64,73,3,94,101,3,122,61,142,152,2,173,191,201,2
14,36,34,41,11054,3,65,73,4,93,101,2,123,30,143,152,1,174,192,201,1
14,6,32,43,518,1,61,73,3,92,101,1,121,29,143,152,1,173,191,201,1
14,12,30,42,2759,1,61,75,2,93,101,4,122,34,143,152,2,173,191,201,1
14,24,32,41,2670,1,61,75,4,93,101,4,123,35,143,152,1,174,192,201,1
11,24,32,40,4817,2,61,74,2,93,102,3,122,31,143,152,1,173,192,201,2
14,24,32,41,2679,1,61,72,4,92,101,1,124,29,143,152,1,174,192,201,1
11,11,34,40,3905,2,61,73,2,93,101,2,121,36,143,151,2,173,191,201,1
11,12,32,41,3386,1,61,75,3,93,101,4,124,35,143,153,1,173,192,201,2
11,6,32,44,343,1,61,72,4,92,101,1,121,27,143,152,1,173,191,201,1
14,18,32,43,4594,2,61,72,3,93,101,2,123,32,143,152,1,173,192,201,1
11,36,32,42,3620,1,61,73,1,93,103,2,122,37,143,152,1,173,191,201,1
11,15,32,40,1721,1,61,72,2,93,101,3,121,36,143,152,1,173,191,201,1
12,12,32,42,3017,1,61,72,3,92,101,1,121,34,143,151,1,174,191,201,1
12,12,32,48,754,1,65,75,4,93,101,4,122,38,143,152,2,173,191,201,1
14,18,32,49,1950,1,61,74,4,93,101,1,123,34,142,152,2,173,192,201,1
11,24,32,41,2924,1,61,73,3,93,103,4,124,63,141,152,1,173,192,201,1
11,24,33,43,1659,1,61,72,4,92,101,2,123,29,143,151,1,172,192,201,2
14,48,33,43,7238,3,65,75,3,93,101,3,123,32,141,152,2,173,191,201,1
14,33,33,49,2764,1,61,73,2,92,101,2,123,26,143,152,2,173,192,201,1
14,24,33,41,4679,2,61,74,3,93,101,3,123,35,143,152,2,172,192,201,1
12,24,32,43,3092,1,62,72,3,94,101,2,123,22,143,151,1,173,192,201,2
11,6,32,46,448,1,61,72,4,92,101,4,122,23,143,152,1,173,191,201,2
11,9,32,40,654,1,61,73,4,93,101,3,123,28,143,152,1,172,191,201,2
14,6,32,48,1238,1,65,71,4,93,101,4,122,36,143,152,1,174,192,201,1
12,18,34,43,1245,1,61,73,4,94,101,2,123,33,143,152,1,173,191,201,2
11,18,30,42,3114,1,61,72,1,92,101,4,122,26,143,151,1,173,191,201,2
14,39,32,41,2569,1,63,73,4,93,101,4,123,24,143,152,1,173,191,201,1
13,24,32,43,5152,2,61,74,4,93,101,2,123,25,141,152,1,173,191,201,1
12,12,32,49,1037,1,62,74,3,93,101,4,121,39,143,152,1,172,191,201,1
11,15,34,42,1478,1,61,75,4,93,101,4,123,44,143,152,2,173,192,201,1
12,12,34,43,3573,1,61,73,1,92,101,1,121,23,143,152,1,172,191,201,1
12,24,32,40,1201,1,61,72,4,93,101,1,122,26,143,152,1,173,191,201,1
11,30,32,42,3622,1,64,75,4,92,101,4,122,57,143,151,2,173,192,201,1
14,15,33,42,960,1,64,74,3,92,101,2,122,30,143,152,2,173,191,201,1
14,12,34,40,1163,1,63,73,4,93,101,4,121,44,143,152,1,173,192,201,1
12,6,33,40,1209,1,61,71,4,93,101,4,122,47,143,152,1,174,192,201,2
14,12,32,43,3077,1,61,73,2,93,101,4,123,52,143,152,1,173,192,201,1
14,24,32,40,3757,1,61,75,4,92,102,4,124,62,143,153,1,173,192,201,1
14,10,32,40,1418,1,62,73,3,93,101,2,121,35,143,151,1,172,191,202,1
14,6,32,40,3518,1,61,73,2,93,103,3,122,26,143,151,1,173,191,201,1
14,12,34,43,1934,1,61,75,2,93,101,2,124,26,143,152,2,173,191,201,1
12,27,30,49,8318,3,61,75,2,92,101,4,124,42,143,153,2,174,192,201,2
14,6,34,43,1237,1,62,73,1,92,101,1,122,27,143,152,2,173,191,201,1
12,6,32,43,368,1,65,75,4,93,101,4,122,38,143,152,1,173,191,201,1
11,12,34,40,2122,1,61,73,3,93,101,2,121,39,143,151,2,172,191,202,1
11,24,32,42,2996,1,65,73,2,94,101,4,123,20,143,152,1,173,191,201,2
12,36,32,42,9034,3,62,72,4,93,102,1,124,29,143,151,1,174,192,201,2
14,24,34,42,1585,1,61,74,4,93,101,3,122,40,143,152,2,173,191,201,1
12,18,32,43,1301,1,61,75,4,94,103,2,121,32,143,152,1,172,191,201,1
13,6,34,40,1323,1,62,75,2,91,101,4,123,28,143,152,2,173,192,201,1
11,24,32,40,3123,1,61,72,4,92,101,1,122,27,143,152,1,173,191,201,2
11,36,32,41,5493,2,61,75,2,93,101,4,124,42,143,153,1,173,191,201,1
13,9,32,43,1126,1,62,75,2,91,101,4,121,49,143,152,1,173,191,201,1
12,24,34,43,1216,1,62,72,4,93,101,4,124,38,141,152,2,173,191,201,2
11,24,32,40,1207,1,61,72,4,92,101,4,122,24,143,151,1,173,191,201,2
14,10,32,40,1309,1,65,73,4,93,103,4,122,27,143,152,1,172,191,201,2
13,15,34,41,2360,1,63,73,2,93,101,2,123,36,143,152,1,173,192,201,1
12,15,31,40,6850,3,62,71,1,93,101,2,122,34,143,152,1,174,192,201,2
14,24,32,43,1413,1,61,73,4,94,101,2,122,28,143,152,1,173,191,201,1
14,39,32,41,8588,3,62,75,4,93,101,2,123,45,143,152,1,174,192,201,1
11,12,32,40,759,1,61,74,4,93,101,2,121,26,143,152,1,173,191,201,2
14,36,32,41,4686,2,61,73,2,93,101,2,124,32,143,153,1,174,192,201,1
13,15,32,49,2687,1,61,74,2,93,101,4,122,26,143,151,1,173,192,201,1
12,12,33,43,585,1,61,73,4,94,102,4,121,20,143,151,2,173,191,201,1
14,24,32,40,2255,1,65,72,4,93,101,1,122,54,143,152,1,173,191,201,1
11,6,34,40,609,1,61,74,4,92,101,3,122,37,143,152,2,173,191,202,1
11,6,34,40,1361,1,61,72,2,93,101,4,121,40,143,152,1,172,191,202,1
14,36,34,42,7127,3,61,72,2,92,101,4,122,23,143,151,2,173,192,201,2
11,6,32,40,1203,1,62,75,3,93,101,2,122,43,143,152,1,173,192,201,1
14,6,34,43,700,1,65,75,4,93,101,4,124,36,143,153,2,173,191,201,1
14,24,34,45,5507,2,61,75,3,93,101,4,124,44,143,153,2,173,191,201,1
11,18,32,43,3190,1,61,73,2,92,101,2,121,24,143,152,1,173,191,201,2
11,48,30,42,7119,3,61,73,3,93,101,4,124,53,143,153,2,173,191,201,2
14,24,32,41,3488,1,62,74,3,92,101,4,123,23,143,152,1,173,191,201,1
12,18,32,43,1113,1,61,73,4,92,103,4,121,26,143,152,1,172,191,201,1
12,26,32,41,7966,3,61,72,2,93,101,3,123,30,143,152,2,173,191,201,1
14,15,34,46,1532,1,62,73,4,92,101,3,123,31,143,152,1,173,191,201,1
14,4,34,43,1503,1,61,74,2,93,101,1,121,42,143,152,2,172,191,201,1
11,36,32,43,2302,1,61,73,4,91,101,4,123,31,143,151,1,173,191,201,2
11,6,32,40,662,1,61,72,3,93,101,4,121,41,143,152,1,172,192,201,1
12,36,32,46,2273,1,61,74,3,93,101,1,123,32,143,152,2,173,191,201,1
12,15,32,40,2631,1,62,73,2,92,101,4,123,28,143,151,2,173,192,201,2
14,12,33,41,1503,1,61,73,4,94,101,4,121,41,143,151,1,173,191,201,1
14,24,32,43,1311,1,62,74,4,94,101,3,122,26,143,152,1,173,192,201,1
14,24,32,43,3105,1,65,72,4,93,101,2,123,25,143,152,2,173,191,201,1
13,21,34,46,2319,1,61,72,2,91,101,1,123,33,143,151,1,173,191,201,2
11,6,32,40,1374,1,65,71,4,92,101,3,122,75,143,152,1,174,192,201,1
12,18,34,42,3612,1,61,75,3,92,101,4,122,37,143,152,1,173,192,201,1
11,48,32,40,7763,3,61,75,4,93,101,4,124,42,141,153,1,174,191,201,2
13,18,32,42,3049,1,61,72,1,92,101,1,122,45,142,152,1,172,191,201,1
12,12,32,43,1534,1,61,72,1,94,101,1,121,23,143,151,1,173,191,201,2
14,24,33,40,2032,1,61,75,4,93,101,4,124,60,143,153,2,173,192,201,1
11,30,32,42,6350,2,65,75,4,93,101,4,122,31,143,152,1,173,191,201,2
13,18,32,42,2864,1,61,73,2,93,101,1,121,34,143,152,1,172,191,201,2
14,12,34,40,1255,1,61,75,4,93,101,4,121,61,143,152,2,172,191,201,1
11,24,33,40,1333,1,61,71,4,93,101,2,121,43,143,153,2,173,191,201,2
14,24,34,40,2022,1,61,73,4,92,101,4,123,37,143,152,1,173,192,201,1
14,24,32,43,1552,1,61,74,3,93,101,1,123,32,141,152,1,173,191,201,1
11,12,31,43,626,1,61,73,4,92,101,4,121,24,141,152,1,172,191,201,2
14,48,34,41,8858,3,65,74,2,93,101,1,124,35,143,153,2,173,192,201,1
14,12,34,45,996,1,65,74,4,92,101,4,121,23,143,152,2,173,191,201,1
14,6,31,43,1750,1,63,75,2,93,101,4,122,45,141,152,1,172,191,201,1
11,48,32,43,6999,3,61,74,1,94,103,1,121,34,143,152,2,173,192,201,2
12,12,34,40,1995,1,62,72,4,93,101,1,123,27,143,152,1,173,191,201,1
12,9,32,46,1199,1,61,74,4,92,101,4,122,67,143,152,2,174,192,201,1
12,12,32,43,1331,1,61,72,2,93,101,1,123,22,142,152,1,173,191,201,2
12,18,30,40,2278,1,62,72,3,92,101,3,123,28,143,152,2,173,191,201,2
14,21,30,40,5003,2,65,73,1,92,101,4,122,29,141,152,2,173,192,201,2
11,24,31,42,3552,1,61,74,3,93,101,4,123,27,141,152,1,173,191,201,2
12,18,34,42,1928,1,61,72,2,93,101,2,121,31,143,152,2,172,191,201,2
11,24,32,41,2964,1,65,75,4,93,101,4,124,49,141,153,1,173,192,201,1
11,24,31,43,1546,1,61,74,4,93,103,4,123,24,141,151,1,172,191,201,2
13,6,33,43,683,1,61,72,2,92,101,1,122,29,141,152,1,173,191,201,1
12,36,32,40,12389,4,65,73,1,93,101,4,124,37,143,153,1,173,192,201,2
12,24,33,49,4712,2,65,73,4,93,101,2,122,37,141,152,2,174,192,201,1
12,24,33,43,1553,1,62,74,3,92,101,2,122,23,143,151,2,173,192,201,1
11,12,32,40,1372,1,61,74,2,91,101,3,123,36,143,152,1,173,191,201,2
14,24,34,43,2578,1,64,75,2,93,101,2,123,34,143,152,1,173,191,201,1
12,48,32,43,3979,2,65,74,4,93,101,1,123,41,143,152,2,173,192,201,1
11,48,32,43,6758,3,61,73,3,92,101,2,123,31,143,152,1,173,192,201,2
11,24,32,42,3234,1,61,72,4,92,101,4,121,23,143,151,1,172,192,201,2
14,30,34,43,5954,2,61,74,3,93,102,2,123,38,143,152,1,173,191,201,1
14,24,32,41,5433,2,65,71,2,92,101,4,122,26,143,151,1,174,192,201,1
11,15,32,49,806,1,61,73,4,92,101,4,122,22,143,152,1,172,191,201,1
12,9,32,43,1082,1,61,75,4,93,101,4,123,27,143,152,2,172,191,201,1
14,15,34,42,2788,1,61,74,2,92,102,3,123,24,141,152,2,173,191,201,1
12,12,32,43,2930,1,61,74,2,92,101,1,121,27,143,152,1,173,191,201,1
14,24,34,46,1927,1,65,73,3,92,101,2,123,33,143,152,2,173,192,201,1
12,36,34,40,2820,1,61,72,4,91,101,4,123,27,143,152,2,173,191,201,2
14,24,32,48,937,1,61,72,4,94,101,3,123,27,143,152,2,172,191,201,1
12,18,34,40,1056,1,61,75,3,93,103,3,121,30,141,152,2,173,191,201,2
12,12,34,40,3124,1,61,72,1,93,101,3,121,49,141,152,2,172,191,201,1
14,9,32,42,1388,1,61,73,4,92,101,2,121,26,143,151,1,173,191,201,1
12,36,32,45,2384,1,61,72,4,93,101,1,124,33,143,151,1,172,191,201,2
14,12,32,40,2133,1,65,75,4,92,101,4,124,52,143,153,1,174,192,201,1
11,18,32,42,2039,1,61,73,1,92,101,4,121,20,141,151,1,173,191,201,2
11,9,34,40,2799,1,61,73,2,93,101,2,121,36,143,151,2,173,191,201,1
11,12,32,42,1289,1,61,73,4,93,103,1,122,21,143,152,1,172,191,201,1
11,18,32,44,1217,1,61,73,4,94,101,3,121,47,143,152,1,172,192,201,2
11,12,34,42,2246,1,61,75,3,93,101,3,122,60,143,152,2,173,191,201,2
11,12,34,43,385,1,61,74,4,92,101,3,121,58,143,152,4,172,192,201,1
12,24,33,40,1965,1,65,73,4,92,101,4,123,42,143,151,2,173,192,201,1
14,21,32,49,1572,1,64,75,4,92,101,4,121,36,141,152,1,172,191,201,1
12,24,32,40,2718,1,61,73,3,92,101,4,122,20,143,151,1,172,192,201,2
11,24,31,410,1358,1,65,75,4,93,101,3,123,40,142,152,1,174,192,201,2
12,6,31,40,931,1,62,72,1,92,101,1,122,32,142,152,1,172,191,201,2
11,24,32,40,1442,1,61,74,4,92,101,4,123,23,143,151,2,173,191,201,2
12,24,30,49,4241,2,61,73,1,93,101,4,121,36,143,152,3,172,192,201,2
14,18,34,40,2775,1,61,74,2,93,101,2,122,31,141,152,2,173,191,201,2
14,24,33,49,3863,1,61,73,1,93,101,2,124,32,143,153,1,173,191,201,1
12,7,32,43,2329,1,61,72,1,92,103,1,121,45,143,152,1,173,191,201,1
12,9,32,42,918,1,61,73,4,92,101,1,122,30,143,152,1,173,191,201,2
12,24,31,46,1837,1,61,74,4,92,101,4,124,34,141,153,1,172,191,201,2
14,36,32,42,3349,1,61,73,4,92,101,2,123,28,143,152,1,174,192,201,2
13,10,32,42,1275,1,61,72,4,92,101,2,122,23,143,152,1,173,191,201,1
11,24,31,42,2828,1,63,73,4,93,101,4,121,22,142,152,1,173,192,201,1
14,24,34,49,4526,2,61,73,3,93,101,2,121,74,143,152,1,174,192,201,1
12,36,32,43,2671,1,62,73,4,92,102,4,124,50,143,153,1,173,191,201,2
14,18,32,43,2051,1,61,72,4,93,101,1,121,33,143,152,1,173,191,201,1
14,15,32,41,1300,1,65,75,4,93,101,4,124,45,141,153,1,173,191,201,1
11,12,32,44,741,1,62,71,4,92,101,3,122,22,143,152,1,173,191,201,2
13,10,32,40,1240,1,62,75,1,92,101,4,124,48,143,153,1,172,191,201,2
11,21,32,43,3357,1,64,72,4,92,101,2,123,29,141,152,1,173,191,201,1
11,24,31,41,3632,1,61,73,1,92,103,4,123,22,141,151,1,173,191,202,1
14,18,33,42,1808,1,61,74,4,92,101,1,121,22,143,152,1,173,191,201,2
12,48,30,49,12204,4,65,73,2,93,101,2,123,48,141,152,1,174,192,201,1
12,56.9,33,43,9157,3,65,73,2,93,101,2,124,27,143,153,1,174,191,201,1
11,6,34,40,3676,1,61,73,1,93,101,3,121,37,143,151,3,173,191,201,1
12,30,32,42,3441,1,62,73,2,92,102,4,123,21,143,151,1,173,191,201,2
14,12,32,40,640,1,61,73,4,91,101,2,121,49,143,152,1,172,191,201,1
12,21,34,49,3652,1,61,74,2,93,101,3,122,27,143,152,2,173,191,201,1
14,18,34,40,1530,1,61,73,3,93,101,2,122,32,141,152,2,173,191,201,2
14,48,32,49,3914,2,65,73,4,91,101,2,121,38,141,152,1,173,191,201,2
11,12,32,42,1858,1,61,72,4,92,101,1,123,22,143,151,1,173,191,201,1
11,18,32,43,2600,1,61,73,4,93,101,4,124,65,143,153,2,173,191,201,2
14,15,32,43,1979,1,65,75,4,93,101,2,123,35,143,152,1,173,191,201,1
13,6,32,42,2116,1,61,73,2,93,101,2,121,41,143,152,1,173,192,201,1
12,9,31,40,1437,1,62,74,2,93,101,3,124,29,143,152,1,173,191,201,2
14,42,34,42,4042,2,63,73,4,93,101,4,121,36,143,152,2,173,192,201,1
14,9,32,46,3832,1,65,75,1,93,101,4,121,64,143,152,1,172,191,201,1
11,24,32,43,3660,1,61,73,2,92,101,4,123,28,143,152,1,173,191,201,1
11,18,31,42,1553,1,61,73,4,93,101,3,123,44,141,152,1,173,191,201,2
12,15,32,43,1444,1,65,72,4,93,101,1,122,23,143,152,1,173,191,201,1
14,9,32,42,1980,1,61,72,2,92,102,2,123,19,143,151,2,173,191,201,2
12,24,32,40,1355,1,61,72,3,92,101,4,123,25,143,152,1,172,192,201,2
14,12,32,46,1393,1,61,75,4,93,101,4,122,47,141,152,3,173,192,201,1
14,24,32,43,1376,1,63,74,4,92,101,1,123,28,143,152,1,173,191,201,1
14,56.9,33,43,15653,4,61,74,2,93,101,4,123,21,143,152,2,173,192,201,1
14,12,32,43,1493,1,61,72,4,92,101,3,123,34,143,152,1,173,191,201,1
11,42,33,43,4370,2,61,74,3,93,101,2,122,26,141,152,2,173,192,201,2
11,18,32,46,750,1,61,71,4,92,101,1,121,27,143,152,1,171,191,201,2
12,15,32,45,1308,1,61,75,4,93,101,4,123,38,143,152,2,172,191,201,1
14,15,32,46,4623,2,62,73,3,93,101,2,122,40,143,152,1,174,192,201,2
